Nom du Produit,Type,Plant?,Catégorie,Climate change,Ozone depletion,"Ionising radiation, HH","Photochemical ozone formation, HH",Respiratory inorganics,Acidification terrestrial and freshwater,Eutrophication freshwater,Eutrophication marine,Eutrophication terrestrial,Ecotoxicity freshwater,Land use,Water scarcity,"Resource use, energy carriers","Resource use, mineral and metals",Climate change - fossil,Climate change - biogenic,Climate change - land use and transform.
"Moules, avec la coquille, au port / FR U",conv,0,Agricultural\Animal production\Moules,0.4562040391343528,8.178870001482574e-08,0.07288433927531959,0.004890466695863158,1.7411934956941226e-08,0.004429788393332665,6.774025124769917e-05,0.0016772568049000637,0.018437162948153042,0.2873792184278499,179.3518710094337,0.09924828260984304,7.919495031168489,1.9706624669996124e-06,0.44777439758927695,0.007800461394796281,0.0006291801502795015
"Lapin, conventionnel, en cage, à la ferme / FR U",conv,0,Agricultural\Animal production\Other\Transformation,2.737517570610524,1.3324496724996716e-07,0.3133906684456774,0.006486484431447979,1.7930254382179662e-07,0.024235667765647666,0.000645971841907944,0.010432658731729619,0.09600306515668935,4.629267948645001,409.8996396211636,0.8915450289496804,18.386566997304985,2.4902682330493434e-06,1.308511811322856,1.3077040670815545,0.12130169220611348
"Agneau système de production conventionnel, à l'intérieur, à la ferme / FR U",conv,0,Agricultural\Animal production\Ovine\Transformation,19.589669082552867,3.513712272194654e-07,0.4051834957643128,0.026813512008956535,2.014253117178854e-06,0.29972410017444745,0.0009804613991399504,0.06287859206379717,1.3323730354512189,24.301207799140176,4517.36703015685,4.714881716595034,30.07254909303746,6.4743708787522566e-06,5.7224984636164,13.567928639724393,0.2992419792120681
"Agneau, conventionnel, système Roquefort, à la ferme / FR U",conv,0,Agricultural\Animal production\Ovine\Transformation,5.289713685803655,1.153316763915557e-07,0.24999230316782906,0.005908150787161771,7.141097344183775e-07,0.10466636231171424,0.00024546483496396963,0.02152619460439375,0.4647519492404658,5.096732285759718,1305.6851584335116,0.6693896534229751,12.215992385135085,1.97404638452282e-06,1.7883305758092607,3.501005124637281,0.0003779853571134727
"Laine, le système de production conventionnel, à l'intérieur, à la ferme / FR U",conv,0,Agricultural\Animal production\Ovine\Transformation,5.2066938723362055,7.71892246742044e-08,0.07465507090163476,0.006671085427200784,4.561769937079171e-07,0.06836760770893656,0.0002159325328923397,0.016482165737377284,0.3046005585957351,6.222298655241939,1181.9817846499463,0.4686673182939164,6.3041310288828685,1.5401994506499205e-06,1.4025385909399448,3.756177950855285,0.04797733054097478
"Laine, conventionnel, système Roquefort, à la ferme / FR U",conv,0,Agricultural\Animal production\Ovine\Transformation,5.226634979519248,1.0581704540076404e-07,0.20302354706654616,0.006059517637861555,6.829316953747487e-07,0.10032772065974195,0.00026372283564801404,0.021342614474880568,0.44579574892125184,5.367574325273119,1323.7631996606478,0.8461282022711689,10.841307243319603,1.8996998886208417e-06,1.7441140930971502,3.47585113186116,0.006669754560937315
"Porc, moyenne conventionnelle, nationale, à la  de la ferme / FR U",conv,0,Agricultural\Animal production\Porcine\Transformation,2.465847579052652,1.2094108360575845e-07,0.329946532094214,0.005289745365474188,4.0325710055348387e-07,0.058933864406134615,0.00038913400381755436,0.013436353334681161,0.2590395977019524,4.961683604243399,426.6133232669171,1.9076511739918462,13.807090856704551,2.1821892995200743e-06,1.0819837732737214,1.2464136194306827,0.1374501863482487
"Porc, conventionnal, Bleu Blanc Coeur, at farm gate/FR U",conv,0,Agricultural\Animal production\Porcine\Transformation,2.360911309786904,1.1526646171888042e-07,0.33302549430514494,0.00480211065435722,3.9753312556739036e-07,0.058172322882926786,0.00038252982333105687,0.014755904198242058,0.2571558610285442,8.017772738006984,502.69753736706014,2.3279805116514907,13.383462870638967,2.110208661900804e-06,1.0504092571541355,1.2919498692905897,0.018552183342179226
"Porc, Label Rouge, système extérieur, à la  de la ferme / FR U",conv,0,Agricultural\Animal production\Porcine\Transformation,2.415331220296271,1.1901788124212501e-07,0.236591570747534,0.005587605679506886,6.072390854334987e-07,0.08863396836890466,0.0004227808746002799,0.02111233324492344,0.39191967114127363,6.080941469152082,803.4041730719887,1.5034695197866146,12.16382362555779,2.2513164467330055e-06,1.799587968968935,0.4866962278035177,0.1290470235238185
"Porc, Label Rouge, porc avec système d'exécution, à la  de la ferme / FR U",conv,0,Agricultural\Animal production\Porcine\Transformation,3.3470650732976046,1.3471932136726587e-07,0.2656531722018395,0.006367503028628919,4.90362552727738e-07,0.07214240791065467,0.0004058692367458459,0.015274018205844522,0.3182567366124311,5.795269233757909,472.57669952732425,1.445497763741267,13.612569918888356,2.563850236682107e-06,1.8119469894191282,1.421688931183169,0.11342915269530773
